argument_id,attorney_name,firm,side,role,source
2014-0378,Stacey R. Kaelin,NH Attorney General,state,oral_advocate,NH Supreme Court annual oral-argument archive PDF
2014-0378,Sarah E. Newhall,NH Appellate Defender,defendant,oral_advocate,NH Supreme Court annual oral-argument archive PDF
2015-0203,Richard W. Head,NH Attorney General,state,oral_advocate,NH Supreme Court annual oral-argument archive PDF
2015-0203,Catherine J. Flinchbaugh,NH Attorney General,state,oral_advocate,NH Supreme Court annual oral-argument archive PDF
2014-0264,Elizabeth C. Woodcock,NH Attorney General,state,oral_advocate,NH Supreme Court annual oral-argument archive PDF
2014-0264,Christopher M. Johnson,NH Appellate Defender,defendant,oral_advocate,NH Supreme Court annual oral-argument archive PDF
2014-0336,Stephen T. Martin,,unknown,oral_advocate,NH Supreme Court annual oral-argument archive PDF
2014-0336,Mark A. Darling,Litchfield Cavo LLP,unknown,oral_advocate,NH Supreme Court annual oral-argument archive PDF
2014-0417,Jacob J. B. Marvelley,,unknown,oral_advocate,NH Supreme Court annual oral-argument archive PDF
2014-0417,Peter D. Anderson,"McLane Middleton, Professional Association",unknown,oral_advocate,NH Supreme Court annual oral-argument archive PDF
2014-0457,Jon N. Strasburger,"Bossie & Wilson, PLLC",unknown,oral_advocate,NH Supreme Court annual oral-argument archive PDF
2014-0457,Michael Bedard,"The Legal Connection, P.C.",unknown,oral_advocate,NH Supreme Court annual oral-argument archive PDF
2014-0493,Jared P. O’Connor,,unknown,oral_advocate,NH Supreme Court annual oral-argument archive PDF
2014-0594,Deborah Bess Urbaitis,,unknown,oral_advocate,NH Supreme Court annual oral-argument archive PDF
2014-0594,Christopher J. Fischer,"Haughey, Philpot & Laurent, P.A.",unknown,oral_advocate,NH Supreme Court annual oral-argument archive PDF
2014-0614,Nicholas P. Cort,NH Attorney General,state,oral_advocate,NH Supreme Court annual oral-argument archive PDF
2014-0614,Adam H. Bernstein,"Bernard & Merrill, PLLC",unknown,oral_advocate,NH Supreme Court annual oral-argument archive PDF
2014-0619,James C. Wheat,"Wadleigh, Starr & Peters, PLLC",unknown,oral_advocate,NH Supreme Court annual oral-argument archive PDF
2014-0619,"Francis C. Fredericks, Jr.",NH Attorney General,state,oral_advocate,NH Supreme Court annual oral-argument archive PDF
2013-0591,K. Allen Brooks,NH Attorney General,state,oral_advocate,NH Supreme Court annual oral-argument archive PDF
2013-0591,David C. Frederick,NH Attorney General,state,oral_advocate,NH Supreme Court annual oral-argument archive PDF
2013-0591,Bruce W. Felmly,"McLane Middleton, Professional Association",unknown,oral_advocate,NH Supreme Court annual oral-argument archive PDF
2013-0591,Paul D. Clement,,unknown,oral_advocate,NH Supreme Court annual oral-argument archive PDF
2013-0554,Jason A. Casey,NH Attorney General,state,oral_advocate,NH Supreme Court annual oral-argument archive PDF
2013-0554,Christopher M. Johnson,NH Appellate Defender,defendant,oral_advocate,NH Supreme Court annual oral-argument archive PDF
2014-0249,Lisa L. Wolford,NH Attorney General,state,oral_advocate,NH Supreme Court annual oral-argument archive PDF
2014-0249,Stephanie C. Hausman,NH Appellate Defender,defendant,oral_advocate,NH Supreme Court annual oral-argument archive PDF
2014-0364,Susan P. McGinnis,NH Attorney General,state,oral_advocate,NH Supreme Court annual oral-argument archive PDF
2014-0364,Sarah E. Newhall,NH Appellate Defender,defendant,oral_advocate,NH Supreme Court annual oral-argument archive PDF
2014-0381,Susan P. McGinnis,NH Attorney General,state,oral_advocate,NH Supreme Court annual oral-argument archive PDF
2014-0381,Stephanie C. Hausman,NH Appellate Defender,defendant,oral_advocate,NH Supreme Court annual oral-argument archive PDF
2014-0480,H. Jon Meyer,"Backus, Meyer & Branch, LLP",unknown,oral_advocate,NH Supreme Court annual oral-argument archive PDF
2014-0480,Samantha D. Elliott,"Gallagher, Callahan & Gartrell, PC",unknown,oral_advocate,NH Supreme Court annual oral-argument archive PDF
2014-0516,Thomas J. Pappas,Primmer Piper Eggleston & Cramer PC,unknown,oral_advocate,NH Supreme Court annual oral-argument archive PDF
2014-0516,Joshua L. Gordon,,unknown,oral_advocate,NH Supreme Court annual oral-argument archive PDF
2014-0566,Elizabeth C. Woodcock,NH Attorney General,state,oral_advocate,NH Supreme Court annual oral-argument archive PDF
2014-0566,Seth J. Hipple,"Martin & Hipple, PLLC",unknown,oral_advocate,NH Supreme Court annual oral-argument archive PDF
2013-0882,Susan P. McGinnis,NH Attorney General,state,oral_advocate,NH Supreme Court annual oral-argument archive PDF
2013-0882,Mark L. Sisti,Sisti Law Offices,unknown,oral_advocate,NH Supreme Court annual oral-argument archive PDF
2014-0459,Robert L. Best,Bianco Professional Association,unknown,oral_advocate,NH Supreme Court annual oral-argument archive PDF
2014-0459,Jed Z. Callen,,unknown,oral_advocate,NH Supreme Court annual oral-argument archive PDF
2014-0553,"James J. Bianco, Jr.",Bianco Professional Association,unknown,oral_advocate,NH Supreme Court annual oral-argument archive PDF
2014-0553,K. Allen Brooks,NH Attorney General,state,oral_advocate,NH Supreme Court annual oral-argument archive PDF
2014-0615,Robyn Guarino,"Winer & Bennett, LLP",unknown,oral_advocate,NH Supreme Court annual oral-argument archive PDF
2014-0615,Joshua L. Gordon,,unknown,oral_advocate,NH Supreme Court annual oral-argument archive PDF
2014-0617,Danielle R. Santuccio,,unknown,oral_advocate,NH Supreme Court annual oral-argument archive PDF
2014-0617,Donald M. Ekberg,,unknown,oral_advocate,NH Supreme Court annual oral-argument archive PDF
2014-0656,"H. Bernard Waugh, Jr.",,unknown,oral_advocate,NH Supreme Court annual oral-argument archive PDF
2014-0656,Justin C. Richardson,"Upton & Hatfield, LLP",unknown,oral_advocate,NH Supreme Court annual oral-argument archive PDF
2014-0773,B.J. Branch,"Backus, Meyer & Branch, LLP",unknown,oral_advocate,NH Supreme Court annual oral-argument archive PDF
2014-0773,Robert J. Meagher,,unknown,oral_advocate,NH Supreme Court annual oral-argument archive PDF
2015-0037,Scott H. Harris,"McLane Middleton, Professional Association",state,oral_advocate,NH Supreme Court annual oral-argument archive PDF
2015-0037,Megan A. Yaple,NH Attorney General,state,oral_advocate,NH Supreme Court annual oral-argument archive PDF
2014-0362,Elizabeth C. Woodcock,NH Attorney General,state,oral_advocate,NH Supreme Court annual oral-argument archive PDF
2014-0362,Thomas A. Barnard,NH Appellate Defender,defendant,oral_advocate,NH Supreme Court annual oral-argument archive PDF
2014-0373,Elizabeth C. Woodcock,NH Attorney General,state,oral_advocate,NH Supreme Court annual oral-argument archive PDF
2014-0373,Shawn P. Sweeney,,unknown,oral_advocate,NH Supreme Court annual oral-argument archive PDF
2014-0580,"Charles G. Douglas, III","Douglas, Leonard & Garvey, P.C.",unknown,oral_advocate,NH Supreme Court annual oral-argument archive PDF
2014-0580,Brian W. Buonamano,NH Attorney General,state,oral_advocate,NH Supreme Court annual oral-argument archive PDF
2014-0702,"Roy W. Tilsley, Jr.","Bernstein, Shur, Sawyer & Nelson, P.A.",unknown,oral_advocate,NH Supreme Court annual oral-argument archive PDF
2014-0702,Gary J. Kinyon,,unknown,oral_advocate,NH Supreme Court annual oral-argument archive PDF
2014-0725,Nicholas P. Cort,NH Attorney General,state,oral_advocate,NH Supreme Court annual oral-argument archive PDF
2014-0725,Christopher M. Johnson,NH Appellate Defender,defendant,oral_advocate,NH Supreme Court annual oral-argument archive PDF
2014-0815,K. Allen Brooks,NH Attorney General,state,oral_advocate,NH Supreme Court annual oral-argument archive PDF
2014-0815,Peter G. McGrath,,unknown,oral_advocate,NH Supreme Court annual oral-argument archive PDF
2013-0031,Nicholas P. Cort,NH Attorney General,state,oral_advocate,NH Supreme Court annual oral-argument archive PDF
2013-0031,David M. Rothstein,NH Appellate Defender,defendant,oral_advocate,NH Supreme Court annual oral-argument archive PDF
2014-0085,Elizabeth C. Woodcock,NH Attorney General,state,oral_advocate,NH Supreme Court annual oral-argument archive PDF
2014-0085,Stephanie C. Hausman,NH Appellate Defender,defendant,oral_advocate,NH Supreme Court annual oral-argument archive PDF
2014-0287,Nicholas P. Cort,NH Attorney General,state,oral_advocate,NH Supreme Court annual oral-argument archive PDF
2014-0287,Christine C. List,NH Appellate Defender,defendant,oral_advocate,NH Supreme Court annual oral-argument archive PDF
2014-0335,Nicholas P. Cort,NH Attorney General,state,oral_advocate,NH Supreme Court annual oral-argument archive PDF
2014-0335,Sarah E. Newhall,NH Appellate Defender,defendant,oral_advocate,NH Supreme Court annual oral-argument archive PDF
2014-0372,John J. Kennedy,NH Attorney General,state,oral_advocate,NH Supreme Court annual oral-argument archive PDF
2014-0372,Stephanie C. Hausman,NH Appellate Defender,defendant,oral_advocate,NH Supreme Court annual oral-argument archive PDF
2014-0395,Geoffrey W.R. Ward,NH Attorney General,state,oral_advocate,NH Supreme Court annual oral-argument archive PDF
2014-0395,Thomas A. Barnard,NH Appellate Defender,defendant,oral_advocate,NH Supreme Court annual oral-argument archive PDF
2014-0515,Tanya L. Spony,"Smith-Weiss, Shepard, P.C.",unknown,oral_advocate,NH Supreme Court annual oral-argument archive PDF
2014-0515,Jeremy D. Eggleton,"Orr & Reno, P.A.",unknown,oral_advocate,NH Supreme Court annual oral-argument archive PDF
