source_file_key,source_type,docket_numbers,source_url,match_method,confidence,review_status
2000-548,opinion,"[""2000-548""]",https://www.courts.nh.gov/sites/g/files/ehbemt471/files/documents/2022-08/2002030leonard.pdf,source_case_number_and_caption,high,generated
2000-621,opinion,"[""2000-621""]",https://www.courts.nh.gov/sites/g/files/ehbemt471/files/documents/2022-08/2002032unionleader.pdf,source_case_number_and_caption,high,generated
2000-524,opinion,"[""2000-524""]",https://www.courts.nh.gov/sites/g/files/ehbemt471/files/documents/2022-08/2002028novak.pdf,source_case_number_and_caption,high,generated
2002028novakorder,opinion,"[""2000-524""]",https://www.courts.nh.gov/sites/g/files/ehbemt471/files/documents/2022-08/2002028novakorder.pdf,caption_text,high,generated
2000-284,opinion,"[""2000-284""]",https://www.courts.nh.gov/sites/g/files/ehbemt471/files/documents/2022-08/2002025warren.pdf,source_case_number_and_caption,high,generated
2000-468,opinion,"[""2000-468""]",https://www.courts.nh.gov/sites/g/files/ehbemt471/files/documents/2022-08/2002027gordon.pdf,source_case_number_and_caption,high,generated
2000-441,opinion,"[""2000-441""]",https://www.courts.nh.gov/sites/g/files/ehbemt471/files/documents/2022-08/2002026kraft.pdf,source_case_number_and_caption,high,generated
2000-453,opinion,"[""2000-453""]",https://www.courts.nh.gov/sites/g/files/ehbemt471/files/documents/2022-08/2002023gaffney.pdf,source_case_number_and_caption,high,generated
2000-164,opinion,"[""2000-164""]",https://www.courts.nh.gov/sites/g/files/ehbemt471/files/documents/2022-08/2002018porter.pdf,source_case_number_and_caption,high,generated
2000-149,opinion,"[""2000-149""]",https://www.courts.nh.gov/sites/g/files/ehbemt471/files/documents/2022-08/2002015nevins.pdf,source_case_number_and_caption,high,generated
2000-592,opinion,"[""2000-592""]",https://www.courts.nh.gov/sites/g/files/ehbemt471/files/documents/2022-08/2002016brittany.pdf,source_case_number_and_caption,high,generated
2000-147,opinion,"[""2000-147""]",https://www.courts.nh.gov/sites/g/files/ehbemt471/files/documents/2022-08/2002014demauro.pdf,source_case_number_and_caption,high,generated
2000-422,opinion,"[""2000-422""]",https://www.courts.nh.gov/sites/g/files/ehbemt471/files/documents/2022-08/2002012procon.pdf,source_case_number_and_caption,high,generated
2002012proconorder,opinion,"[""2000-422""]",https://www.courts.nh.gov/sites/g/files/ehbemt471/files/documents/2022-08/2002012proconorder.pdf,caption_text,high,generated
2000-411,opinion,"[""2000-411""]",https://www.courts.nh.gov/sites/g/files/ehbemt471/files/documents/2022-08/2002009brzica.pdf,source_case_number,high,generated
2000-521,opinion,"[""2000-521""]",https://www.courts.nh.gov/sites/g/files/ehbemt471/files/documents/2022-08/2002010dobe.pdf,source_case_number_and_caption,high,generated
2001-488,opinion,"[""2001-488""]",https://www.courts.nh.gov/sites/g/files/ehbemt471/files/documents/2022-08/2002008alexander.pdf,source_case_number_and_caption,high,generated
2000-464,opinion,"[""2000-464""]",https://www.courts.nh.gov/sites/g/files/ehbemt471/files/documents/2022-08/2002006briggs.pdf,source_case_number_and_caption,high,generated
2000-571,opinion,"[""2000-571""]",https://www.courts.nh.gov/sites/g/files/ehbemt471/files/documents/2022-08/2002007gelinas.pdf,source_case_number_and_caption,high,generated
2000-344,opinion,"[""2000-344""]",https://www.courts.nh.gov/sites/g/files/ehbemt471/files/documents/2022-08/2002005transportation.pdf,source_case_number_and_caption,high,generated
2000-325,opinion,"[""2000-325""]",https://www.courts.nh.gov/sites/g/files/ehbemt471/files/documents/2022-08/2002004monadnock.pdf,source_case_number_and_caption,high,generated
